step-aa strain-aa stress-aa energy-aa
48500 0.0399607607446595 2.33693814415136 -1956608.9662102
49000 0.0404685540848668 2.33392329771623 -1956620.80037274
49500 0.0404685540848668 2.37609975784082 -1956496.06751182
50000 0.0409763474250741 2.37683943644934 -1956503.12087186
50500 0.0409763474250741 2.41787369562661 -1956362.0804007
51000 0.0414841407652814 2.41744404954587 -1956381.45612517
51500 0.0414841407652814 2.45808826231912 -1956190.24358817
52000 0.0419919341054889 2.46471041836144 -1956282.88272694
52500 0.0419919341054889 2.50314297277823 -1956121.51769881
53000 0.0424997274456962 2.503102821762 -1956115.32709263
53500 0.0424997274456962 2.55035388851769 -1955998.84164351
54000 0.0430075207859035 2.55029254122983 -1955974.03292472
54500 0.0430075207859035 2.59597385483682 -1955874.81054537
